feature_name,feature_description,needs_geo_logic,reasoning,related_regulations
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",REVIEW,"The feature 'Story resharing with content expiry' raises potential compliance concerns regarding user data handling and content sharing, particularly in regions with strict data privacy laws. The feature includes an auto-expiry mechanism after 48 hours, which may help mitigate some data retention issues. However, the logging of resharing attempts with EchoTrace indicates a monitoring mechanism that could be subject to compliance scrutiny. The screening analysis flagged the need for further research, which is appropriate given the complexity of compliance requirements across different jurisdictions. The research retrieved relevant documents, but their relevance scores indicate that they do not directly address the specific compliance implications of the feature. Therefore, further investigation is necessary to determine if geographic compliance logic is required.","[ 
    {
       ""regulation_name"": ""Digital Services Act"",  
        ""excerpt"": ""Providers of online platforms allowing consumers to conclude distance contracts with traders shall store the information obtained pursuant to paragraphs 1 and 2 in a secure manner for a period of six months after the end of the contractual relationship with the trader concerned. They shall subsequently delete the information."",  
        ""relevance_score"": 0.1,  
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""  
     }  
]"
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,REVIEW,"The feature description indicates the implementation of a creator leaderboard that utilizes internal analytics to track points and rankings. The use of 'IMT' (Internal Monitoring Trigger) suggests that there is a mechanism in place for monitoring user interactions and data processing, which raises compliance considerations regarding data privacy and user rights. However, the geographic scope is currently unknown, and the compliance implications may vary based on jurisdiction. Therefore, further research is needed to determine if specific geographic compliance logic is required.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of very large online platforms or of very large online search engines shall establish a compliance function, which is independent from their operational functions and composed of one or more compliance officers, including the head of the compliance function."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      }
    ]"
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,REVIEW,"The feature 'Mood-based PF enhancements' adjusts personalized feed (PF) recommendations based on inferred mood signals from emoji usage, which raises potential compliance concerns regarding user data processing and privacy, particularly for minors. The screening analysis correctly identifies the need for compliance with local data protection laws, but the geographic scope is currently unknown, necessitating further investigation into jurisdiction-specific regulations. The research highlights relevant regulations, particularly those concerning age verification and parental consent, which are critical for compliance with features targeting minors.","[
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""The operator has obtained verifiable parental consent to provide an addictive feed to the user who is a minor."",
        ""relevance_score"": 0.184,
        ""source_filename"": ""20230SB976_91.pdf""
      },
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of online platforms accessible to minors shall put in place appropriate and proportionate measures to ensure a high level of privacy, safety, and security of minors, on their service."",
        ""relevance_score"": 0.191,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      }
    ]"
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",REVIEW,"The feature involves NR-curated profiles for new users, which suggests a personalized recommendation system that may raise compliance concerns regarding user data handling. The screening analysis flagged the need for further research due to potential compliance implications, particularly in regions with strict data privacy laws. However, the geographic scope is currently unknown, making it unclear whether specific geo-compliance logic is necessary. Further investigation is required to determine if different jurisdictions impose varying requirements on the feature's implementation.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of very large online platforms or of very large online search engines shall provide recipients of services with a concise, easily-accessible and machine-readable summary of the terms and conditions, including the available remedies and redress mechanisms, in clear and unambiguous language."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      }
    ]"
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,REVIEW,"The feature 'Creator fund payout tracking in CDS' involves the Compliance Detection System (CDS) for monitoring monetization events, which indicates a compliance requirement. However, the geographic scope is currently unknown, and further research is needed to determine if specific regulations vary by jurisdiction. The Data Retention Threshold (DRT) rules apply for log trimming, which is crucial for compliance with data protection laws. The combination of these factors suggests that while compliance obligations exist, the necessity for geographic compliance logic is uncertain without additional information.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Digital Services Coordinators shall notify to the Commission the out-of-court dispute settlement bodies that they have certified in accordance with paragraph 3."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      },
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of online platforms allowing consumers to conclude distance contracts with traders shall make best efforts to assess whether such traders have provided the information referred to in paragraphs 1 and 2 prior to allowing them to offer their products or services on those platforms."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      }
    ]"
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",YES,"The feature requires geo-compliance logic due to its rollout specifically targeting users in the EEA, which is subject to local regulations such as the GDPR. The screening analysis correctly identified the need for compliance measures based on geographic location, supported by the use of 'GH' (Geo-handler) for managing exposure control. The feature's implementation in the EEA necessitates adherence to local compliance policies (LCP) and data protection laws, indicating that geo-logic is essential.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of very large online platforms or of very large online search engines shall, at the request of either the Digital Service Coordinator of establishment or of the Commission, explain the design, the logic, the functioning and the testing of their algorithmic systems, including their recommender systems."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      },
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""This Regulation should also be without prejudice to Union rules on private international law, in particular rules regarding jurisdiction and the recognition and enforcement of judgments in civil and commercial matters."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      }
    ]"
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,REVIEW,"The feature involves launching a PF variant in Canada, which suggests a need for localized compliance due to the geographic specificity. However, the screening analysis indicates a medium compliance risk level without definitive regulatory requirements identified. The research highlights relevant regulations, but their direct applicability to the feature's functionality remains unclear, necessitating further investigation into local compliance policies (LCP) and specific requirements in Canada.","[
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""The bill would require the Attorney General to adopt regulations to further the purposes of these provisions, including regulations regarding age assurance and parental consent by January 1, 2027."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""20230SB976_91.pdf""
      },
      {
        ""regulation_name"": ""Utah Social Media Regulation Act"",
        ""excerpt"": ""Utah has enacted the Social Media Regulation Act aimed at protecting social media users under 18 years of age by restricting social media access, limiting collection and use of minors' data, prohibiting advertisements and addictive design features, and imposing age verification and parental consent requirements."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""Utah Enacts Social Media Regulation Act.pdf""
      }
    ]"
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",REVIEW,"The feature description indicates that a new chat layout will be tested in specific regions (CA, US, BR, ID), which implies a need for compliance with local regulations in those areas. The mention of 'GH' (Geo-handler) suggests that the feature will be tailored to comply with regional laws, indicating compliance intent. However, the exact nature of these compliance requirements is not detailed in the description, and while there are potential data privacy concerns raised by the 'ShadowMode' deployment, the screening analysis does not provide sufficient detail on specific regulatory obligations. Therefore, further research is needed to clarify specific compliance requirements across the mentioned jurisdictions.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""Providers of online platforms accessible to minors shall put in place appropriate and proportionate measures to ensure a high level of privacy, safety, and security of minors, on their service."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      },
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""The bill would require the Attorney General to adopt regulations to further the purposes of these provisions, including regulations regarding age assurance and parental consent by January 1, 2027."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""20230SB976_91.pdf""
      }
    ]"
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",YES,"The feature requires geo-compliance logic due to its specific implementation for users in the US, which necessitates adherence to local regulations regarding autoplay functionality. The screening analysis correctly identified the geographic compliance consideration, and the research highlights relevant regulations that impose restrictions on autoplay features, particularly concerning minors.","[
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""A business that provides an online service, product, or feature likely to be accessed by children to comply with certain requirements."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""20230SB976_91.pdf""
      },
      {
        ""regulation_name"": ""Utah Social Media Regulation Act"",
        ""excerpt"": ""Utah has enacted the Social Media Regulation Act aimed at protecting social media users under 18 years of age by restricting social media access, limiting collection and use of minors' data."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""Utah Enacts Social Media Regulation Act.pdf""
      }
    ]"
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,REVIEW,"The feature involves an A/B test for dark theme accessibility in South Korea, which raises potential compliance considerations under local accessibility standards. The screening analysis indicates a medium compliance risk due to the lack of explicit regulatory language in the feature description. While the screening agent correctly identified the need for further research, the specific compliance obligations related to accessibility laws in South Korea remain unclear. The research retrieved documents primarily from the EU and Utah, which may not directly apply to the South Korean context, indicating a need for more targeted research on South Korean regulations. Therefore, the necessity for geo-compliance logic is uncertain and requires further investigation into local laws.",[] - no related regulations found
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",REVIEW,"The feature involves age-specific notification controls using ASL, which is crucial for compliance with regulations protecting minors. However, the geographic scope is currently unknown, and further research is needed to determine if specific geographic compliance logic is required based on varying regulations across jurisdictions.","[  
     {  
         ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",  
         ""excerpt"": ""The operator has obtained verifiable parental consent to provide an addictive feed to the user who is a minor."",  
         ""relevance_score"": 0.204,  
         ""source_filename"": ""20230SB976_91.pdf""  
     },  
     {  
         ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",  
         ""excerpt"": ""Information collected for the purpose of determining a user\u2019s age or verifying parental consent pursuant to this chapter shall not be used for any purpose other than compliance with this chapter or with another applicable law."",  
         ""relevance_score"": 0.1,  
         ""source_filename"": ""20230SB976_91.pdf""  
     }  
]"
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",REVIEW,"The feature description indicates the enforcement of message content constraints through the injection of LCP rules, which stands for Local Compliance Policy. This suggests that the feature is designed to adhere to region-specific regulations, indicating a potential compliance requirement. However, the geographic scope is currently unknown, and the absence of explicit legal requirements in the description raises questions about the specific regulations being addressed. The implication of privacy context further suggests that user data handling may be involved, necessitating compliance with data protection laws. Therefore, while the feature appears to be compliant with local regulations, the lack of detailed legal references necessitates further research to confirm the specific compliance obligations. The risk level is assessed as medium due to the potential implications of non-compliance with local laws, especially regarding user data privacy and content restrictions.","[  
    {  
         ""regulation_name"": ""Utah Social Media Regulation Act"",  
         ""excerpt"": ""Utah has enacted the Social Media Regulation Act aimed at protecting social media users under 18 years of age by restricting social media access, limiting collection and use of minors' data, prohibiting advertisements and addictive design features, and imposing age verification and parental consent requirements."",  
         ""relevance_score"": 0.1,   
         ""source_filename"": ""Utah Enacts Social Media Regulation Act.pdf""  
     },  
     {  
          ""regulation_name"": ""Digital Services Act"",  
          ""excerpt"": ""(c) complies with rules regarding the updating of the information, specified in a manner widely recognised and used by industry;"",  
          ""relevance_score"": 0.1,  
          ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""   
     }  
]"
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,REVIEW,"The feature introduces limits on video uploads from new accounts, which suggests a proactive approach to user management and compliance with platform safety standards. However, the screening analysis indicates that while there is a compliance intent, the specific legal obligations are not clearly defined. The research retrieved relevant excerpts from the Digital Services Act that emphasize the protection of minors, which may imply a need for compliance considerations. However, the geographic scope is currently unknown, and further research is needed to clarify whether specific regulations apply based on user location.","[  
    {  
         ""regulation_name"": ""Digital Services Act"",  
         ""excerpt"": ""Providers of online platforms accessible to minors shall put in place appropriate and proportionate measures to ensure a high level of privacy, safety, and security of minors, on their service."",  
         ""relevance_score"": 0.241,  
         ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""  
     }  
]"
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",REVIEW,"The feature description indicates a flow that detects high-risk comment content and routes it via the Compliance Detection System (CDS) with Redline markers. The use of 'high-risk comment content' suggests a proactive approach to compliance, indicating that the feature is designed to identify and manage potentially harmful or non-compliant user-generated content. The presence of Redline markers implies a mechanism for flagging content that requires legal review, which is a clear compliance-related action. Furthermore, the monitoring through EchoTrace indicates a commitment to compliance verification, reinforcing the need for adherence to regulatory standards. However, the absence of mention regarding regional policies may introduce compliance risks, as local compliance policies (LCP) could vary significantly across different jurisdictions. This lack of specificity necessitates further research to ensure that the feature aligns with all applicable local regulations. Overall, the feature's intent and mechanisms suggest a high compliance risk level due to the potential legal implications of managing sensitive content.","[  
     {  
          ""regulation_name"": ""Digital Services Act"",  
          ""excerpt"": ""Providers of very large online platforms and of very large online search engines should ensure that the compliance function is involved, properly and in a timely manner, in all issues which relate to this Regulation including in the risk assessment and mitigation strategy and specific measures."", 
          ""relevance_score"": 0.1,  
          ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""  
      }  
]"
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,REVIEW,"The feature 'User behavior scoring for policy gating' involves behavioral scoring that may impact user privacy and data protection, particularly concerning minors. The screening analysis correctly identifies potential compliance risks associated with data processing and user behavior tracking. However, the geographic scope is currently unknown, which complicates the determination of whether geo-compliance logic is necessary. Further research is needed to clarify if specific jurisdictions impose different requirements regarding user data processing and behavioral scoring.","[
      {
        ""regulation_name"": ""Digital Services Act"",
        ""excerpt"": ""When conducting risk assessments, providers of very large online platforms and of very large online search engines shall take into account, in particular, whether and how the following factors influence any of the systemic risks referred to in paragraph 1: (a) the design of their recommender systems and any other relevant algorithmic system;"",
        ""relevance_score"": 0.1,
        ""source_filename"": ""CELEX_32022R2065_EN_TXT.pdf""
      },
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""An operator of an addictive internet-based service or application shall publicly disclose, on an annual basis, the number of minor users of its addictive internet-based service or application, and of that total the number for whom the operator has received verifiable parental consent to provide an addictive feed."",
        ""relevance_score"": 0.1,
        ""source_filename"": ""20230SB976_91.pdf""
      }
    ]"
Minor-safe chat expansion via Jellybean,"We’re expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",REVIEW,"The feature 'Minor-safe chat expansion via Jellybean' indicates a focus on compliance with child safety regulations, particularly through the use of the Jellybean parental control system. The screening analysis correctly identifies the need for compliance measures due to the involvement of minors, but the geographic scope is marked as 'unknown,' which complicates the determination of whether geo-compliance logic is necessary. The research highlights relevant regulations, particularly the 'Protecting Our Kids from Social Media Addiction Act,' which mandates obtaining verifiable parental consent for minors. However, without a clear geographic scope, it is uncertain if the feature's implementation aligns with specific state regulations. Further investigation is needed to clarify the geographic applicability of these regulations.","[
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""The operator has obtained verifiable parental consent to provide an addictive feed to the user who is a minor."",
        ""relevance_score"": 0.25,
        ""source_filename"": ""20230SB976_91.pdf""
      },
      {
        ""regulation_name"": ""Protecting Our Kids from Social Media Addiction Act"",
        ""excerpt"": ""Information collected for the purpose of determining a user\u2019s age or verifying parental consent... shall not be used for any purpose other than compliance with this chapter."",
        ""relevance_score"": 0.2,
        ""source_filename"": ""20230SB976_91.pdf""
      }
    ]"
